,title,company,location,pay,rating,job
31,Hydrographer - Marine,Fugro,"Dartmouth, NS",,3.9,Geologist
32,"GEOLOGIST, Exploration",Argonaut Gold,"Dubreuilville, ON",,,Geologist
33,Hydrogeology - Field Position,RJ Burnside,"Remote in Mississauga, ON",,3.0,Geologist
34,newXRD Data Mineralogist,ALS Global,"Remote in Kamloops, BC",,3.0,Geologist
35,newEnvironmental Engineer / Geoscientist – Intermediate,BluMetric,"Toronto, ON",,,Geologist
36,Mine Engineer/Geologist Co-op,CGC Manufacturing Gypsum,"Little Narrows, NS",,,Geologist
37,newSenior Resource Geologist,Tetra Tech,"Vancouver, BC",,3.7,Geologist
38,newProduction Geologist,Workforce Inc.,"Timmins, ON",$36–$40 an hour,4.6,Geologist
39,Core Logging Geologist,Kinross Gold Corporation,"Red Lake, ON",,3.8,Geologist
40,newCore Logging Geologist (Remote Camp),Workforce Inc.,"Timmins, ON",$34–$40 an hour,4.6,Geologist
41,Project Geologist,Aurora Geosciences,Northwest Territories,,,Geologist
42,Junior Geologist/Hydrogeologist,GHD,"Mississauga, ON",,3.6,Geologist
43,newSenior Geologist,Fladgate Exploration Consulting Corporation,"Thunder Bay, ON",,,Geologist
44,newEnvironmental Engineer / Geoscientist - Intermediate,BluMetric Environmental Inc.,"Greater Toronto Area, ON+1 location",,,Geologist
45,Project Geologist,Alamos Gold Inc.,"Matachewan, ON",,3.7,Geologist
46,Mine Geologist,Baffinland Iron Mines,"Mary River, NU",,2.9,Geologist
47,Fluvial Geomorphologist,Palmer Environmental,"Temporarily Remote in Toronto, ON",,,Geologist
48,newResource Geologist,Workforce Inc.,"Timmins, ON",$35–$40 an hour,4.6,Geologist
49,Senior Geologist,SLR Consulting,"Toronto, ON",,3.9,Geologist
50,Intermediate Hydrogeologist,BluMetric,"Kingston, ON+1 location",,,Geologist
51,Environment Engineer/Hydrogeologist,SNC-Lavalin,"North York, ON",,4.0,Geologist
52,"newDrillers, Helpers and Drillers in Training",ConeTec,"Surrey, BC",,3.8,Geologist
53,Mineralogist,SGS,"Lakefield, ON",,3.6,Geologist
54,Hydrogeology - Field Position,R.J. BURNSIDE & ASSOCIATES LIMITED,"Remote in Mississauga, ON",,3.0,Geologist
55,Plant Metallurgist - 12 month temporary role,Newcrest Mining,"Stikine, BC",,3.8,Geologist
56,Intermediate Hydrogeologist,Dillon Consulting Limited,"Remote in Guelph, ON",,3.7,Geologist
57,Hydrologist,Stantec,"Waterloo, ON+1 location",,3.7,Geologist
58,Professional Geoscientist - Contaminant Hydrogeology,RJ Burnside,"Remote in Orangeville, ON",,3.0,Geologist
59,Mine Geologist,Myra Falls Mine Ltd.,"Campbell River, BC",,3.2,Geologist
60,Environmental Engineer/Hydrogeologist,SNC-Lavalin,"Toronto, ON",,4.0,Geologist
61,Geoscientist / Environmental Engineer (Hybrid),IBI Group,"Markham, ON+1 location",,3.4,Geologist
62,newProduction Geologist,Workforce Inc.,"Timmins, ON",$36–$40 an hour,4.6,Geologist
63,Intermediate Environmental Engineer/Geoscientist,Terraprobe Inc.,"Brampton, ON",,,Geologist
64,Mine Geologist - Data Management,Barrick Gold Corporation,"Hemlo, ON",,4.0,Geologist
65,Intermediate Environmental Engineer or Scientist,Tetra Tech,"Whitehorse, YT",,3.7,Geologist
66,Senior Exploration Geologist,Alamos Gold Inc.,"Dubreuilville, ON",,3.7,Geologist
67,Intermediate to Senior Hydrogeologist,Thurber Engineering Ltd.,"Oakville, ON",,3.9,Geologist
68,Greenstone Mine - Mine Geologist,Greenstone Gold Mines,"Geraldton, ON",,,Geologist
69,Production Geologist,Pure Gold Mining,"Red Lake, ON",,1.8,Geologist
70,Mine Geologist,Beaver Brook Antimony Mine (BBAM),"Glenwood, NL",,,Geologist
71,Director of Mining,Healthcare Systems R & A Inc.,"Montréal, QC","$67,446–$150,597 a year",,Geologist
72,newCore Logging Geologist (Remote Camp),Workforce Inc.,"Timmins, ON",$34–$40 an hour,4.6,Geologist
73,JUNIOR HYDROGEOLOGIST OR GEOSCIENTIST,WSP,"Ottawa, ON",,3.8,Geologist
74,Core Logging Geologist,Alamos Gold Inc.,"Matachewan, ON",,3.7,Geologist
75,Core Logging Geologist,Alamos Gold Inc.,"Matachewan, ON",,3.7,Geologist
76,Hydrogeologist/Engineer,BluMetric,"Ottawa, ON",,,Geologist
77,Chief Mine Geologist,IAMGOLD,"Mesomikenda Lake, ON",,4.2,Geologist
78,Geochemist,Stantec,Ontario+1 location,,3.7,Geologist
79,Geologist,CST Coal,"Grande Cache, AB",,2.7,Geologist
80,Reservoir Engineer - Reservoir Optimization & Start Up,CNOOC International,"Calgary, AB",,3.9,Geologist
81,"Junior Hydrogeologist, Environmental Due Diligence & Remedia...",Pinchin Ltd.,"Mississauga, ON",,3.5,Geologist
82,Junior Environmental Engineers / Geoscientists,GEMTEC,"Moncton, NB",,4.1,Geologist
83,Professional Geoscientist - Contaminant Hydrogeology,R.J. Burnside & Associates Limited,"Remote in Orangeville, ON",,3.0,Geologist
84,Engineer/Scientist/Technical Officer (Geology),Nuclear Waste Management Organization (NWMO),"Toronto, ON",,,Geologist
85,Junior Hydrogeologist,SNC-Lavalin,"Calgary, AB",,4.0,Geologist
86,Mining Technologist (NOC 2212),Dynamis Capital Corp.,"Vancouver, BC",$32.97 an hour,,Geologist
87,newGeologist - Project Manager - Contract,GroundTruth Exploration,"Dawson, YT+1 location",,,Geologist
88,newSenior Geochemist,Tetra Tech,"Vancouver, BC",,3.7,Geologist
89,newGeologist/Hydrogeologist,Robertson Geoconsultants,"Vancouver, BC","$70,000–$90,000 a year",,Geologist
90,Mining Hydrogeologist,Stantec,"Remote in Waterloo, ON+1 location",,3.7,Geologist
91,Engineer in Training - Cement,Lehigh Hanson,"Cadomin, AB",,3.2,Geologist
92,"Technicien (civil, géotechnique, géologie) - intermédiaire",AECOM,"Remote in Montréal, QC",,3.7,Geologist
93,Senior Exploration Geologist,Planet X Exploration Services Ltd.,"Gander, NL",$450–$550 a day,,Geologist
94,Mineralogy Technician,SGS,"Lakefield, ON",,3.6,Geologist
95,Product Quality Geologist / Metallurgist,Baffinland Iron Mines,"Mary River, NU",,2.9,Geologist
96,"newProject Manager, Hydrogeology",McIntosh Perry,"Toronto, ON",,3.5,Geologist
97,"newIntermediate/Senior Geoscientist, Environmental",McIntosh Perry,"Toronto, ON",,3.5,Geologist
98,Rock Mechanics Engineer / Geoscientist,Stantec,"Remote in St. John's, NL",,3.7,Geologist
99,Géologue / Ingénieur en géologie - Pétrographe,GHD,"Montréal, QC",,3.6,Geologist
100,Geochemist / GoldSim Specialist,Ensero Solutions,"Whitehorse, YT",,,Geologist
101,Intermediate Environmental Engineer/Geoscientist,EnGlobe Corp.,"Brampton, ON",,3.4,Geologist
102,Mine Water Engineer/Geoscientist,Stantec,"Remote in Stoney Creek, ON+3 locations",,3.7,Geologist
103,newIntermediate Hydrogeologist,Robertson Geoconsultants,"Vancouver, BC","$75,000–$95,000 a year",,Geologist
104,Intermediate Environmental Engineer/Hydrogeologist,BluMetric,"Whitehorse, YT",,,Geologist
105,Intermediate Environmental Engineer/Hydrogeologist,BluMetric,"Whitehorse, YT",,,Geologist
106,Project Manager Engineer,The Elm Group,"Engineer, BC",,,Geologist
107,Geophysicist - Signal Processing Specialist,DATACLOUD,"Vancouver, BC",,,Geologist
108,"Project Manager, Environmental",EnGlobe Corp.,"Remote in Mississauga, ON+1 location",,3.4,Geologist
109,Student Geologist/Geologist,Porasz Consulting,"Val-d'Or, QC",,,Geologist
110,Intermediate to Senior Hydrogeologist / Environmental Engine...,Azimuth Environmental Consulting,"Barrie, ON",,,Geologist
111,Senior Geochemist,Wood Plc,"Remote in Oakville, ON",,3.8,Geologist
112,newNorth Mine - Jumbo Operator,Redpath Mining Contractors and Engineers,"Greater Sudbury, ON",,4.2,Geologist
113,Junior Geomorphologist/Stream Restoration Scientist,GHD,"Mississauga, ON",,3.6,Geologist
114,Geotechnical Engineer/Geologist,Hatch,"Calgary, AB",,3.9,Geologist
115,Shallow Geophysics Field Assistant - Summer contract,GeoScan Subsurface Surveys,"Burnaby, BC",,,Geologist
116,Hydrogeologist or Geoscientist,WSP,"Hamilton, ON",,3.8,Geologist
117,newGéographe,Tehora,"Remote in Montréal, QC",,,Geologist
118,Senior Mineral Resource Growth Geologist,Barrick Gold Corporation,"Hemlo, ON",,4.0,Geologist
119,Field Engineer - Temporary,Denison Mines Corp,"Saskatoon, SK",,,Geologist
120,Hydrogeologist or Geoscientist,WSP,"Hamilton, ON",,3.8,Geologist
121,newGéographe,Tehora,"Remote in Montréal, QC",,,Geologist
122,Senior Mineral Resource Growth Geologist,Barrick Gold Corporation,"Hemlo, ON",,4.0,Geologist
123,Field Engineer - Temporary,Denison Mines Corp,"Saskatoon, SK",,,Geologist
124,newIntermediate Environmental Engineer or Scientist,CBCL Limited,"Saint John, NB",,4.7,Geologist
125,Junior Hydrogeologist,WSP,"Calgary, AB+2 locations",,3.8,Geologist
126,Junior Hydrogeologist/ Groundwater Modeller,AECOM,"Hybrid remote in Burnaby, BC",,3.7,Geologist
127,Geologist - Ferrous Exploration (Fixed Term - Seasonal),Baffinland Iron Mines,"Mary River, NU",,2.9,Geologist
128,RAB Drill Geologist,GroundTruth Exploration,"Remote in Dawson, YT+1 location",,,Geologist
129,Geology Teacher,John Abbott College,"Sainte-Anne-de-Bellevue, QC",,4.2,Geologist
130,Geochemist,WSP,"Vancouver, BC",,3.8,Geologist
131,Drilling Coordinator ( Fixed Term - Seasonal),Baffinland Iron Mines,"Mary River, NU",,2.9,Geologist
132,Expert Geophysics Limited,Expert Geophysics Limited,"Toronto, ON",,,Geologist
133,Mississauga - Fluvial Geomorphologist,Hatch,"Mississauga, ON",,3.9,Geologist
134,Senior Geologist,Myra Falls Mine Ltd.,"Campbell River, BC",,3.2,Geologist
135,(Senior) Project Geologist,Zacapa Resources,Remote,,,Geologist
136,Assistant Professor – Earth Resources Geoscientist,Mount Royal University,"Calgary, AB",,3.9,Geologist
137,Mine Engineer,Alamos Gold Young Davidson Mine,"Matachewan, ON",,3.7,Geologist
138,Junior/Intermediate Hydrogeologist,Stantec,"Dartmouth, NS+4 locations",,3.7,Geologist
139,Senior Environmental Scientist,AECOM,"Hybrid remote in Edmonton, AB",,3.7,Geologist
140,Geology Summer Student,St Barbara Limited,"Middle Musquodoboit, NS",,,Geologist
141,Geotechnical Engineer,Trevali Mining Corporation,"Bathurst, NB",,3.2,Geologist
142,Hydrogeology - Tenure Track Professor,Université du Québec en Abitibi-Témiscamingue...,"Quebec City, QC",,,Geologist
143,Mine Operations Supervisor,St Barbara Limited,"Middle Musquodoboit, NS",,,Geologist
144,"newStagiaire universitaire - Contrôle des matériaux, Géologie,...",exp,"Montréal, QC",,3.6,Geologist
145,"Hydrogeology Student - Co-op / Internship, Calgary (Sept 202...",Cenovus Energy,"Calgary, AB",,3.7,Geologist
146,Mine Geologist,Trevali Mining Corporation,"Bathurst, NB",,3.2,Geologist
147,Hydrogeologist,MEK & Earth & Environmental,"Surrey, BC",,,Geologist
148,Sr. Geoscientist / Sr. Environmental Engineer,IBI Group,"Toronto, ON+2 locations",,3.4,Geologist
149,Senior Geoscientist,Klohn Crippen Berger,"Vancouver, BC",,4.2,Geologist
150,Sr. Geoscientist / Sr. Environmental Engineer,IBI Group,"Toronto, ON+2 locations",,3.4,Geologist
151,Senior Geoscientist,Klohn Crippen Berger,"Vancouver, BC",,4.2,Geologist
152,Intermediate Professional Engineer/Geoscientist,XCG Consulting,"Kitchener, ON",,,Geologist
153,Senior Hydrogeologist,GEI Consultants Inc,"Barrie, ON",,,Geologist
154,Environmental Technician IV,AECOM,"Hybrid remote in Calgary, AB",,3.7,Geologist
155,Exploration Geologist,Agnico-Eagle Mines Limited,"Val-d'Or, QC",,4.2,Geologist
156,newSenior Hydrogeologist (Mid-Senior Level),ERM Group,"Vancouver, BC",,,Geologist
157,Experienced Hydrogeologist or Geoscientist,WSP,"Toronto, ON",,3.8,Geologist
158,Intermediate Geoscientist,Stantec,"Burnaby, BC+1 location",,3.7,Geologist
159,Hydrogeology/Civil Engineering Technologist,Paterson Group Inc.,"Nepean, ON",$24.00–$25.50 an hour,,Geologist
160,Analyste des communications en langues étrangères,Canadian Security Intelligence Service,"Montréal, QC",,4.4,Geologist
161,Long-Range Planning Engineer,Kidd Operations A Glencore Company,"Timmins, ON",,,Geologist
162,Geology Technician – Resource Estimation,Agnico-Eagle Mines Limited,"Rouyn-Noranda, QC",,4.2,Geologist
163,Junior or Intermediate Environmental Geoscientist,Knight Piesold Consulting,"Vancouver, BC",,3.4,Geologist
164,Junior/Intermediate Hydrogeologist,GEMTEC,"St. John's, NL",,4.1,Geologist
165,newIngénieure ou ingénieur expert en géologie - un poste réguli...,Ministère de l'Énergie et des ressources...,"Hybrid remote in Capitale-Nationale, QC","$59,022–$105,445 a year",4.5,Geologist
166,Hydrogeologist,exp,"Brampton, ON",,3.6,Geologist
167,Intermediate Hydrogeologist,Stantec,"Markham, ON+1 location",,3.7,Geologist
168,"Senior Hydrogeologist, Project Manager",exp,"Ottawa, ON+1 location",,3.6,Geologist
169,newSenior Mineral Resource Geologist,Mining Plus,"Vancouver, BC",,,Geologist
170,Intermediate Hydrogeologist,SNC-Lavalin,"Remote in Calgary, AB",,4.0,Geologist
171,Senior Hydrogeologist,Cambium Inc.,"Peterborough, ON+3 locations",,5.0,Geologist
172,Manager of Geology,Stantec,"Saskatoon, SK+2 locations",,3.7,Geologist
173,Hydrogeologist,BluMetric Environmental Inc.,"Gatineau, QC",,,Geologist
174,Senior Environmental Scientist - Remediation/Reclamation,AECOM,Hybrid remote in British Columbia,,3.7,Geologist
175,Senior Project Geologist,Teck Resources Limited,"Vancouver, BC",,3.9,Geologist
176,Technicien(ne) en géologie – Projet Wasamac,Technominex,"Rouyn-Noranda, QC",,,Geologist
177,Intermediate Hydrogeologist or Geoscientist,WSP,"Barrie, ON",,3.8,Geologist
178,Senior Hydrogeologist,FROSKR,"Remote in Greater Sudbury, ON",,,Geologist
179,"Dams Engineer, Senior",GHD,"Vancouver, BC",,3.6,Geologist
180,Intermediate and Senior Environmental Engineers/Geoscientist...,GEMTEC,"Moncton, NB",,4.1,Geologist
181,Technicien(ne) en géologie,Technominex,"Rouyn-Noranda, QC",,,Geologist
182,Senior Open Pit Geologist,New Gold Inc.,"Emo, ON",,3.4,Geologist
183,Intermediate Hydrogeology Specialist,Hatfield Consultants,"Calgary, AB",,3.4,Geologist
184,Junior/Intermediate Geotechnical Engineer/Geoscientist,GEMTEC,"St. John's, NL",,4.1,Geologist
185,Senior Geotechnical Engineer,Integrated Sustainability,"Calgary, AB",,4.0,Geologist
186,Senior Environmental Consultant/Senior Project Manager,Cardno,"Edmonton, AB",,3.6,Geologist
187,Geochemist / Water Quality Specialist,Stantec,"Remote in Regina, SK+3 locations",,3.7,Geologist
188,Geologist (Fixed Term - Seasonal),Baffinland Iron Mines,"Mary River, NU",,2.9,Geologist
189,Senior Project Manager Engineer,The Elm Group,"Engineer, BC",,,Geologist
190,Intermediate to Senior Hydrogeologist,"Azimuth Environmental Consulting, Inc.","Remote in Barrie, ON",,,Geologist
191,Hydrogeologist,Denison Mines Corp,"Saskatoon, SK",,,Geologist
192,Principal/Senior Hydrogeologist,SLR Consulting,"Guelph, ON",,3.9,Geologist
193,Intermediate Environmental Scientist/Project Coordinator,SNC-Lavalin,"Saskatoon, SK",,4.0,Geologist
194,Hydrogeologist,SLR Consulting,"Kamloops, BC",,3.9,Geologist
195,Senior Hydrogeologist or Engineer (Mining Sector),BluMetric,"Ottawa, ON",,,Geologist
196,newBusiness Development Manager,SoftMirrors,"Calgary, AB",,,Geologist
197,Senior Environmental Geoscientist,Klohn Crippen Berger,"Greater Sudbury, ON",,4.2,Geologist
198,Hydrogeologist or Engineer (Remediation and Reclamation Focu...,Barr Engineering,"Calgary, AB",,,Geologist
199,Junior Quantitative Hydrogeologist,GHD,"Calgary, AB",,3.6,Geologist
200,Senior Hydrogeologist,Stantec,"Winnipeg, MB+3 locations",,3.7,Geologist
201,Mine Engineer,Nutrien Ltd.,"Cory, SK",,3.4,Geologist
202,newSenior Hydrogeologist - Burnaby,exp,"Burnaby, BC",,3.6,Geologist
203,Senior/Principal Structural Geologist,SRK Consulting,"Vancouver, BC",,4.2,Geologist
204,Geography and Geology Instructor,College of the Rockies,"Cranbrook, BC","$5,954–$9,567 a month",3.8,Geologist
205,newSenior Hydrogeologist,McElhanney Ltd.,"Nanaimo, BC",,3.9,Geologist
206,newVP Exploration (Géologie),Stelmine Canada Ltée,"Fermont, QC","$130,000–$145,000 a year",,Geologist
207,Senior Hydrogeologist/Manager - Whitehorse,SLR Consulting,"Whitehorse, YT","$100,000–$120,000 a year",3.9,Geologist
208,Principal Geologist (Mid-Senior Level),ERM Group,"Toronto, ON",,,Geologist
209,SENIOR PRINCIPAL GEOTECHNICAL ENGINEER / ENGINEERING GEOLOGI...,BCG Group,"Engineer, BC",,4.2,Geologist
210,SENIOR PRINCIPAL GEOTECHNICAL ENGINEER / ENGINEERING GEOLOGI...,BCG Group,"Engineer, BC",,4.2,Geologist
211,Caribou Mine - Jumbo Operator,Redpath Mining Contractors and Engineers,"Bathurst, NB","$114,500 a year",4.2,Geologist
212,newInternship or COOP Geology,Rio Tinto,"Labrador City, NL",,3.9,Geologist
213,"Geologist, Resource Estimation, 10+ years",BBA inc.,"Val-d'Or, QC+1 location",,,Geologist
214,"Hydrogeologist, Groundwater Modeller",Stantec,"St. John's, NL+6 locations",,3.7,Geologist
215,"Sessional Instructor, Department of Geology, Faculty of Scie...",Brandon University,"Brandon, MB",,3.9,Geologist
216,Senior Hydrogeologist (Groundwater Modelling),Wood Plc,"Vancouver, BC",,3.8,Geologist
217,Directeur(trice) technique - géophysique,Groupe ABS,"Montréal, QC",,4.0,Geologist
218,Gestionnaire de projets livrés en mode conception-constructi...,GHD,"Montréal, QC",,3.6,Geologist
219,Hydrogeology Technician,Hatfield Consultants,"Fort McMurray, AB",,3.4,Geologist
220,Intermediate Hydrogeologist,Wood Plc,"Saskatoon, SK",,3.8,Geologist
221,Senior Hydrogeologist,GEMTEC,"Fredericton, NB+2 locations",,4.1,Geologist
222,Hydrogeologist,Stantec,"Calgary, AB+1 location",,3.7,Geologist
223,Senior Hydrogeologist,WSP,"Calgary, AB+4 locations",,3.8,Geologist
224,Senior Mine Geologist,Trevali Mining Corporation,"Bathurst, NB",,3.2,Geologist
225,newResource Geologist,Workforce Inc.,"Timmins, ON",$35–$40 an hour,4.6,Geologist
226,Senior Environmental Engineer / Geoscientist,Wood Plc,"Vancouver, BC",,3.8,Geologist
227,Technical Solutions Geologist (Bilingual French and English),Maptek,"Montréal, QC",,,Geologist
228,Chair in Economic Geology,University of Ottawa,"Ottawa, ON","$86,986 a year",4.3,Geologist
229,newProduction Geologist,Workforce Inc.,"Timmins, ON",$36–$40 an hour,4.6,Geologist
230,newCore Logging Geologist (Remote Camp),Workforce Inc.,"Timmins, ON",$34–$40 an hour,4.6,Geologist
231,Exploration Geologist(s) - Bralorne Gold Mines,TALISKER RESOURCES,"Bralorne, BC",,,Geologist
232,Hydrogeologist Lead,WSP,"Kelowna, BC",,3.8,Geologist
233,Senior Civil / Structural Engineer (Contract),Propak Systems Ltd.,"Airdrie, AB",,3.5,Geologist
234,Technicien Dessinateur – Géologie & Géotechnique – Projet du...,SNC-Lavalin,"Montréal, QC",,4.0,Geologist
235,"Project Manager, Hydrogeologist",Pinchin Ltd.,"Barrie, ON",,3.5,Geologist
236,"Geoscientist, Environmental Due Diligence & Remediation",Pinchin Ltd.,"Greater Sudbury, ON",,3.5,Geologist
237,Junior Environmental Field Hydrogeologist,Stantec,"Edmonton, AB",,3.7,Geologist
238,Intermediate/Senior Hydrogeologist,GEMTEC,"Saint John, NB",,4.1,Geologist
239,Senior Hydrogeologist/ Groundwater Modeller,AECOM,"Remote in Victoria, BC",,3.7,Geologist
240,"Geoscientist, Environmental Due Diligence & Remediation",Pinchin Ltd.,"Greater Sudbury, ON",,3.5,Geologist
241,Junior Environmental Field Hydrogeologist,Stantec,"Edmonton, AB",,3.7,Geologist
242,Intermediate/Senior Hydrogeologist,GEMTEC,"Saint John, NB",,4.1,Geologist
243,Senior Hydrogeologist/ Groundwater Modeller,AECOM,"Remote in Victoria, BC",,3.7,Geologist
244,Senior/Principal Hydrogeologist,SLR Consulting,"Kamloops, BC",,3.9,Geologist
0,"Associate, Business Analyst (New Grad)",Capital One,"Hybrid remote in Toronto, ON",,3.9,Data Analyst
1,newData Analyst,Siemens Canada Limited,"Remote in Oakville, ON",,4.0,Data Analyst
2,newData Analyst (SAS),KGS Research,"Scarborough, ON","From $40,000 a year",3.2,Data Analyst
3,newData Support Analyst,National Bank of Canada,"Toronto, ON",,3.9,Data Analyst
4,Junior Data Analyst,Beta-Calco,"Remote in Toronto, ON","From $45,000 a year",,Data Analyst
5,Data Analyst (Remote in Canada),Interaxon,"Remote in Toronto, ON","$80,000–$110,000 a year",,Data Analyst
6,Junior Data Analyst,FCT,"Hybrid remote in Oakville, ON",,3.1,Data Analyst
7,newPeople Data Analyst,SE Health,Remote,,3.1,Data Analyst
8,newRESEARCH ANALYST 1,City of Toronto,"Toronto, ON",$42.09–$46.12 an hour,4.2,Data Analyst
9,"newConsultant, Risk Data Analyst",CIBC,"Toronto, ON",,3.8,Data Analyst
10,Data Analyst,MasterCard,"Hybrid remote in Toronto, ON",,4.0,Data Analyst
11,newData Analyst,Royal Bank of Canada,"Toronto, ON+1 location",,4.0,Data Analyst
12,newData Analyst,Central Plumbing Services,"Carp, ON",$20–$24 an hour,,Data Analyst
13,newinvestment analyst,U Style Development Inc.,"Waterloo, ON",$37.50–$43.50 an hour,,Data Analyst
14,newBusiness Analyst,The Skyline Group of Companies,"Guelph, ON",,2.8,Data Analyst
15,Data Analyst,Drake International Inc,"Toronto, ON",,3.6,Data Analyst
16,newinvestment analyst,U Style Development Inc.,"Waterloo, ON",$37.50–$43.50 an hour,,Data Analyst
17,newBusiness Analyst,The Skyline Group of Companies,"Guelph, ON",,2.8,Data Analyst
18,newData Analyst,University of British Columbia,British Columbia,"$5,469–$7,878 a month",4.1,Data Analyst
19,newData Analyst,IBI Group,"Temporarily Remote in Toronto, ON",,3.4,Data Analyst
20,Health Promotion & Research Analyst (Public Health) - Tempor...,Region of Waterloo,"Waterloo, ON",,3.4,Data Analyst
21,newData Analyst - Geophysics,Sander Geophysics Limited,"Ottawa, ON",,3.8,Data Analyst
22,newSenior Data Analyst,Royal Bank of Canada,"Toronto, ON",,4.0,Data Analyst
23,Data Analyst _Onshore,Capgemini,"Remote in Toronto, ON",,3.8,Data Analyst
24,SUPPLY CHAIN ANALYST,Johnson & Johnson,"Guelph, ON",,4.2,Data Analyst
25,VBA Developer- Data Analyst,InnovMarine Inc.,"Remote in Toronto, ON","$75,000–$80,000 a year",,Data Analyst
26,Data Analyst,Clio,"Remote in Toronto, ON",,4.1,Data Analyst
27,Junior Data Analyst,Delvinia,"Toronto, ON","$45,000 a year",,Data Analyst
28,newBusiness Analyst,MarshallZehr,"Waterloo, ON",,,Data Analyst
29,Data Analyst,Canadian Tire Corporation,"Toronto, ON+1 location",,3.6,Data Analyst
30,newData Migration Analyst,Canadian Red Cross,Remote,,4.0,Data Analyst
31,newData Protection Analyst,Fidelity Canada,"Hybrid remote in Toronto, ON",,,Data Analyst
32,newBridges and Structures Data Analyst,Metrolinx,Canada,"$87,009 a year",3.9,Data Analyst
33,Data Analyst,Golf Town Operating Limited Partnership,Remote in Canada+1 location,,,Data Analyst
34,newRevenue Data Analyst (Revenue),The Globe and Mail,"Toronto, ON",,3.8,Data Analyst
35,GIS Data Analyst,Pomerleau,"Remote in Montréal, QC",,3.8,Data Analyst
36,Analyst Data & Analytics,Canada Life Assurance Company,"London, ON",,3.7,Data Analyst
37,Data Analyst,"NAVBLUE, an Airbus Company","Hybrid remote in Waterloo, ON",,3.9,Data Analyst
38,Logistics Data Analyst Fall Co-op (8 months to 1 year Contra...,Johnson & Johnson,"Markham, ON",,4.2,Data Analyst
39,Junior Business Analyst (remote),Software International,"Remote in Mississauga, ON",$50 an hour,,Data Analyst
40,Data Analyst,Stewart Title Guaranty Company,"Toronto, ON","$80,000–$90,000 a year",3.3,Data Analyst
41,newData Analyst - Product Support/Inventory Planning,Plexxus,"Remote in Oakville, ON","$50,000–$60,000 a year",3.1,Data Analyst
42,Data Analyst - Logistics,Zekelman Industries,"Harrow, ON",,2.5,Data Analyst
43,Data Analyst,Manulife,"Toronto, ON",,4.0,Data Analyst
44,Data Analyst,SickKids,"Toronto, ON",,4.2,Data Analyst
45,Data Analyst - Logistics,Zekelman Industries,"Harrow, ON",,2.5,Data Analyst
46,Data Analyst,Manulife,"Toronto, ON",,4.0,Data Analyst
47,Data Analyst,SickKids,"Toronto, ON",,4.2,Data Analyst
